Αβτζής  Αβτζή
Αζάς  Αζά
Αϊβάζης  Αϊβάζη
Αλεπουδέλης  Αλεπουδέλη
Αλευράς  Αλευρά
Αμιράλης  Αμιράλη
Αποσπόρης  Αποσπόρη
Αχμάκης  Αχμάκη
Βαβούρης  Βαβούρη
Βελιμέζης  Βελιμέζη
Βενιζέλος  Βενιζέλου
Βερέμης  Βερέμη
Γενεράλης  Γενεράλη
Γεννηματάς  Γεννηματά
Δεβετζής  Δεβετζή
Διπλαράκος  Διπλαράκου
Ζάβαλης  Ζάβαλη
Ζαΐμης  Ζαΐμη
Ζωτικός  Ζωτικού
Θρουμουλόπουλος  Θρουμουλοπούλου
Καβούνης  Καβούνη
Καζάζης  Καζάζη
Καθαροσπόρης  Καθαροσπόρη
Κακογιάννης  Κακογιάννη
Καλαμίτσης  Καλαμίτση
Καλογήρου  Καλογήρου
Καμηλάρης  Καμηλάρη
Καούνης  Καούνη
Καποδίστριας  Καποδίστρια
Καρπούζης  Καρπούζη
Καρύδης  Καρύδη
Καρυωτάκης  Καρυωτάκη
Καφαντάρης  Καφαντάρη
Κολιοπάνος  Κολιοπάνου
Κυνηγός  Κυνηγού
Λαπαθιώτης  Λαπαθιώτη
Λυμπρίτης  Λυμπρίτη
Μακούλης  Μακούλη
Μανιαμούνιας  Μανιαμούνια
Μαυρομιχάλης  Μαυρομιχάλη
Μεταξάς  Μεταξά
Μητρόπουλος  Μητροπούλου
Μοσκώφ  Μοσκώφ
Μπουτίδης  Μπουτίδη
Μυλωνάς  Μυλωνά
Νέαρχος  Νεάρχου
Νιάρχος  Νιάρχου
Νίκανδρος  Νικάνδρου
Ξενίδης  Ξενίδη
Παπαδάκης  Παπαδάκη
Παπανδρέου  Παπανδρέου
Πατινιώτης  Πατινιώτη
Παττίχης  Παττίχη
Πεπονής  Πεπονή
Πιπίνος  Πιπίνου
Πλαστήρας  Πλαστήρα
Πολυκανδριώτης  Πολυκανδριώτη
Σαμαράς  Σαμαρά
Σουλιώτης  Σουλιώτη
Στασινόπουλος  Στασινοπούλου
Στρατηγός  Στρατηγού
Τσικλητήρας  Τσικλητήρα
Τυπάλδος  Τυπάλδου
Τυχερός  Τυχερού
Φελέκης  Φελέκη
Φωτόπουλος  Φωτοπούλου
Χαντούμης  Χαντούμη
Χαραμής  Χαραμή
Χερχελετζής  Χερχελετζή
Χριστοφορίδης  Χριστοφορίδη
